Temperature,Humidity,IAQ Index,Window
23.68,47.64,32,1
22.82,50.99,22,1
20.19,53.31,38,1
24.87,49.48,38,1
20.9,55.09,25,1
21.43,50.2,21,1
24.18,55.87,45,1
21.67,52.44,38,1
20.35,51.21,45,1
21.94,51.72,36,1
21.06,53.25,44,1
23.8,53.36,32,1
23.4,53.58,31,1
24.68,48.08,50,1
20.59,52.39,46,1
20.76,54.55,22,1
24.42,56.37,24,1
20.69,52.07,45,1
20.82,49.13,37,1
21.33,46.2,44,1
21.06,47.53,42,1
20.01,55.93,31,1
24.31,49.84,36,1
22.06,49.57,50,1
21.82,49.85,36,1
22.71,56.97,46,1
23.17,51.39,46,1
22.51,51.84,25,1
20.19,46.57,43,1
22.97,59.46,28,1
24.01,49.63,32,1
20.32,54.28,46,1
22.59,48.45,38,1
22.96,51.29,25,1
20.69,57.52,30,1
21.3,55.46,42,1
21.49,50.44,37,1
22.87,54.63,49,1
22.76,45.47,48,1
21.18,55.14,26,1
22.0,51.14,24,1
22.04,57.87,35,1
24.62,56.34,46,1
22.55,46.43,42,1
20.97,55.86,30,1
22.68,48.72,50,1
21.89,53.68,31,1
21.75,57.63,24,1
23.1,57.78,23,1
20.61,54.11,26,1
21.61,53.36,43,1
23.96,46.33,42,1
23.39,54.87,20,1
23.58,52.26,25,1
22.33,47.69,27,1
22.81,59.81,26,1
22.18,50.48,32,1
22.99,57.42,36,1
24.11,53.49,34,1
22.0,52.75,31,1
24.23,48.97,35,1
20.55,50.77,46,1
22.87,45.79,47,1
23.73,48.63,34,1
21.67,56.38,50,1
23.88,52.09,40,1
23.68,45.39,26,1
20.4,59.17,50,1
21.05,53.97,42,1
24.79,59.06,32,1
24.13,56.55,28,1
22.66,52.96,49,1
23.58,59.36,34,1
24.21,56.31,21,1
20.21,53.28,46,1
24.84,53.19,29,1
24.56,53.03,33,1
23.05,54.11,32,1
23.33,51.01,29,1
24.18,49.01,43,1
20.29,45.24,44,1
23.79,59.45,39,1
23.05,54.13,30,1
20.78,52.67,20,1
22.02,46.04,42,1
21.84,56.37,23,1
21.85,53.49,26,1
22.03,46.85,32,1
24.33,59.48,48,1
22.92,55.18,24,1
22.65,58.74,46,1
23.93,59.75,28,1
22.68,54.35,44,1
24.09,55.75,48,1
23.22,53.52,25,1
22.81,57.76,28,1
20.92,54.62,34,1
24.61,58.64,25,1
21.19,49.94,37,1
21.79,59.25,50,1
21.25,47.85,22,1
24.71,45.18,38,1
21.25,46.93,36,1
21.75,58.08,28,1
21.39,52.3,47,1
23.6,51.74,28,1
21.14,56.25,39,1
22.02,45.89,21,1
23.39,52.29,43,1
21.03,47.85,48,1
22.84,49.37,31,1
24.89,58.82,38,1
20.57,49.42,22,1
22.39,49.06,35,1
21.36,53.93,40,1
23.71,53.92,24,1
22.87,54.13,37,1
20.0,49.19,32,1
20.52,58.46,28,1
20.86,53.84,34,1
23.77,46.22,26,1
20.43,53.35,42,1
23.42,59.08,41,1
24.33,45.89,20,1
24.15,58.61,25,1
23.01,46.44,26,1
24.68,51.91,24,1
24.8,55.51,24,1
21.41,53.09,32,1
21.99,55.02,45,1
20.28,46.01,35,1
21.31,59.63,34,1
21.87,57.32,20,1
22.24,55.7,47,1
22.31,46.27,29,1
22.2,46.41,43,1
21.4,54.4,39,1
20.08,47.53,29,1
23.12,56.69,40,1
20.22,48.61,38,1
20.87,48.24,46,1
23.83,59.85,36,1
20.09,58.75,20,1
24.78,52.45,42,1
21.96,50.38,22,1
23.33,56.41,45,1
21.14,50.76,30,1
22.03,51.28,40,1
21.7,59.24,47,1
24.72,54.69,31,1
24.12,48.14,49,1
20.34,57.17,20,1
23.34,56.02,21,1
23.73,46.49,42,1
23.69,53.32,31,1
24.37,45.75,39,1
23.07,54.05,36,1
22.18,52.84,29,1
24.16,58.13,41,1
20.29,45.74,41,1
20.3,58.93,43,1
24.91,52.51,32,1
23.86,46.91,41,1
21.38,55.52,45,1
21.71,57.9,39,1
20.18,52.56,46,1
20.88,45.17,28,1
24.39,59.31,26,1
22.58,51.56,31,1
21.36,53.6,47,1
20.72,52.07,36,1
23.65,58.43,30,1
24.08,54.86,49,1
23.93,59.17,37,1
24.4,51.76,33,1
24.55,56.05,49,1
21.99,58.27,29,1
20.89,50.19,44,1
20.58,56.13,50,1
21.6,48.3,21,1
21.8,52.53,21,1
24.51,58.11,28,1
20.83,54.63,32,1
21.4,59.0,36,1
23.48,58.86,42,1
21.24,52.6,24,1
24.85,46.34,40,1
22.88,56.5,34,1
23.42,59.07,24,1
21.24,47.43,45,1
23.56,55.7,42,1
21.34,58.64,46,1
24.42,49.52,25,1
20.3,49.52,29,1
20.61,58.61,40,1
20.27,59.87,30,1
22.36,50.75,48,1
21.51,50.03,38,1
23.11,57.05,31,1
21.51,53.01,36,1
22.21,57.05,50,1
24.87,57.53,44,1
20.06,49.72,41,1
23.96,48.54,43,1
24.28,49.69,45,1
20.3,45.29,47,1
23.95,46.37,39,1
20.19,52.02,29,1
24.87,45.27,44,1
23.67,59.56,32,1
22.95,58.03,22,1
20.34,55.89,28,1
23.24,45.98,46,1
21.13,55.9,36,1
24.83,46.97,42,1
20.61,50.29,21,1
20.35,49.91,39,1
22.42,50.85,44,1
22.02,55.15,38,1
23.58,55.07,26,1
23.26,56.82,29,1
21.47,59.32,49,1
22.91,57.37,36,1
21.88,51.86,22,1
24.41,45.93,47,1
21.5,50.02,38,1
23.35,52.35,48,1
24.85,45.62,23,1
22.23,51.1,23,1
24.7,52.86,23,1
21.63,46.66,35,1
24.79,48.45,22,1
22.56,54.17,39,1
20.5,51.84,40,1
21.51,59.6,30,1
23.46,45.24,27,1
22.45,53.41,23,1
22.48,53.95,23,1
21.64,45.99,46,1
21.45,46.35,48,1
22.24,46.62,33,1
24.01,55.43,49,1
21.96,55.49,22,1
21.29,55.22,42,1
24.53,45.82,49,1
24.84,59.38,30,1
22.94,49.73,40,1
21.46,59.27,26,1
21.07,47.0,49,1
24.04,57.87,42,1
24.89,45.77,46,1
20.5,52.43,31,1
21.01,58.65,21,1
23.48,56.54,22,1
21.73,54.14,49,1
20.19,53.89,47,1
23.99,54.41,35,1
21.82,47.5,37,1
23.94,48.69,25,1
23.17,59.57,27,1
21.56,53.48,42,1
24.97,50.17,49,1
22.45,49.63,48,1
22.18,50.58,49,1
24.87,52.45,36,1
24.07,46.78,24,1
24.96,56.96,33,1
21.06,57.54,39,1
23.99,53.67,20,1
21.05,55.84,21,1
21.86,57.58,38,1
22.23,46.48,40,1
20.16,45.51,28,1
20.86,47.57,40,1
23.34,57.13,39,1
20.51,56.83,25,1
23.08,55.44,41,1
22.71,59.55,24,1
23.46,51.93,35,1
20.1,48.08,47,1
22.08,45.15,43,1
20.49,53.17,35,1
22.05,45.96,44,1
20.65,54.43,49,1
23.37,57.28,30,1
24.25,56.09,44,1
20.34,58.11,41,1
20.05,49.1,40,1
21.42,49.65,33,1
21.33,58.27,32,1
24.87,46.91,30,1
20.43,53.34,28,1
24.8,55.82,40,1
23.68,52.53,44,1
23.48,49.03,49,1
22.7,53.92,46,1
20.18,55.76,21,1
20.13,49.62,30,1
23.24,48.89,30,1
22.06,58.78,39,1
23.36,49.58,20,1
20.74,51.03,48,1
20.57,51.07,45,1
23.92,48.5,44,1
22.38,46.75,29,1
22.74,58.25,33,1
23.83,59.45,27,1
20.93,55.01,38,1
22.35,55.2,38,1
22.85,57.38,42,1
20.5,46.25,43,1
20.99,47.41,39,1
24.94,45.4,26,1
22.01,59.15,29,1
20.5,54.59,26,1
23.9,58.04,48,1
24.1,58.17,35,1
24.07,49.55,45,1
21.57,57.38,49,1
20.58,53.55,39,1
22.45,49.8,44,1
20.04,46.39,44,1
21.89,58.84,32,1
20.92,52.05,33,1
22.66,53.43,21,1
20.37,52.51,32,1
22.34,45.07,35,1
22.8,49.98,29,1
23.32,45.62,22,1
20.41,46.65,31,1
23.25,48.56,20,1
24.23,47.47,23,1
22.17,50.23,40,1
21.83,57.37,20,1
23.95,50.44,43,1
23.43,49.55,26,1
23.88,52.82,41,1
21.83,51.71,42,1
23.7,54.46,45,1
24.4,56.6,29,1
23.86,49.22,30,1
20.09,46.54,45,1
24.13,47.89,30,1
20.1,51.26,44,1
22.32,49.94,43,1
23.35,53.14,22,1
24.64,45.85,41,1
24.84,45.18,40,1
21.3,53.23,27,1
24.77,47.06,25,1
22.78,48.26,27,1
22.85,59.71,45,1
20.86,56.96,46,1
22.29,48.77,41,1
23.18,59.44,43,1
21.98,49.29,24,1
20.87,48.18,24,1
20.83,55.75,30,1
24.42,50.16,25,1
23.52,45.23,30,1
22.95,57.85,29,1
22.51,58.06,28,1
24.22,53.91,50,1
24.19,53.06,45,1
21.73,47.76,27,1
23.49,59.17,32,1
21.96,54.12,25,1
23.64,45.25,22,1
21.77,49.01,45,1
22.81,47.36,46,1
23.11,46.15,25,1
23.15,49.62,39,1
23.84,48.78,35,1
24.52,55.18,39,1
23.75,58.91,22,1
23.15,57.62,32,1
24.4,59.71,46,1
22.52,56.01,43,1
23.54,56.76,43,1
24.43,51.23,37,1
22.95,48.92,23,1
23.05,47.57,29,1
21.33,58.25,47,1
20.71,59.4,43,1
20.76,58.91,37,1
22.52,56.83,47,1
23.57,58.73,46,1
23.46,51.17,43,1
24.32,54.8,28,1
24.25,54.44,36,1
23.52,53.74,45,1
20.32,47.98,27,1
20.51,46.81,36,1
22.95,54.79,27,1
23.94,49.95,36,1
23.14,55.47,29,1
22.53,51.87,24,1
21.07,59.38,26,1
21.39,51.87,31,1
23.79,57.49,45,1
22.55,57.69,28,1
22.65,47.19,33,1
20.61,50.43,31,1
25.0,53.49,47,1
24.09,48.31,26,1
21.41,58.22,27,1
20.85,52.92,45,1
21.5,52.51,39,1
21.51,46.1,49,1
22.22,55.9,23,1
23.39,59.57,34,1
21.46,45.78,32,1
22.18,51.58,20,1
23.63,50.6,39,1
20.01,55.34,50,1
24.52,52.49,47,1
23.05,50.66,41,1
20.28,56.69,35,1
20.97,45.22,37,1
22.5,52.02,30,1
20.08,50.41,22,1
24.81,50.14,38,1
24.49,52.08,47,1
24.22,47.74,39,1
21.03,57.87,30,1
20.2,45.62,30,1
20.92,53.84,37,1
24.37,56.93,22,1
20.84,55.71,36,1
23.89,52.94,48,1
22.38,50.41,48,1
20.72,59.32,50,1
22.39,57.04,40,1
20.88,56.8,25,1
22.8,58.43,42,1
24.67,54.05,40,1
20.12,45.88,48,1
21.69,53.65,48,1
22.74,57.99,44,1
21.61,54.67,37,1
24.88,51.15,46,1
21.42,45.1,37,1
22.09,55.75,49,1
23.52,52.56,26,1
24.84,59.38,21,1
21.23,49.66,37,1
21.13,51.93,44,1
24.93,47.31,31,1
20.7,59.87,22,1
21.75,51.18,39,1
23.57,47.62,49,1
22.41,45.5,21,1
20.28,47.6,37,1
22.63,48.1,44,1
24.52,51.93,40,1
24.87,59.94,40,1
20.27,49.95,32,1
24.14,50.36,41,1
21.38,50.54,26,1
21.7,54.59,32,1
22.8,58.76,43,1
21.69,49.26,20,1
24.56,59.92,41,1
21.66,55.42,23,1
24.01,52.33,47,1
21.9,47.13,24,1
20.63,53.1,39,1
23.42,47.88,45,1
20.97,49.62,45,1
24.59,47.3,46,1
23.52,45.64,25,1
20.78,51.15,25,1
21.69,46.33,26,1
23.68,53.85,26,1
22.93,50.63,31,1
21.8,47.15,25,1
20.45,57.95,48,1
20.49,57.3,20,1
20.75,56.77,24,1
22.43,59.73,31,1
22.49,56.68,29,1
21.44,59.08,49,1
24.39,56.43,43,1
20.62,46.27,34,1
22.58,48.69,44,1
21.83,56.85,26,1
24.65,51.76,49,1
23.78,46.45,21,1
24.39,59.45,38,1
24.66,55.42,22,1
21.04,53.58,48,1
21.38,47.86,49,1
24.95,47.41,46,1
20.28,59.01,49,1
20.8,46.67,33,1
22.44,46.52,29,1
20.29,51.19,46,1
24.25,56.83,49,1
21.17,53.84,38,1
22.46,51.12,25,1
23.37,56.47,33,1
20.54,48.06,50,1
21.85,45.53,28,1
20.08,55.69,50,1
24.77,48.45,20,1
20.59,46.66,20,1
22.45,49.96,46,1
24.21,52.76,48,1
20.36,56.37,48,1
23.83,48.17,26,1
21.27,48.74,40,1
22.87,45.34,37,1
20.03,58.69,20,1
22.41,59.63,35,1
21.89,47.99,26,1
20.85,56.52,42,1
22.72,53.77,48,1
24.13,55.26,38,1
24.12,57.18,38,1
21.05,56.23,30,1
23.3,50.59,24,1
23.38,57.62,25,1
23.28,56.0,42,1
23.74,50.07,45,1
23.16,59.59,50,1
20.99,59.4,50,1
24.19,53.0,40,1
22.72,57.38,23,1
22.08,51.47,24,1
21.89,47.49,47,1
21.74,52.75,27,1
24.06,55.1,34,1
20.19,45.11,30,1
24.14,55.4,45,1
24.28,55.86,37,1
21.32,49.46,36,1
24.79,53.19,20,1
23.57,51.24,43,1
23.97,55.41,39,1
23.38,49.04,24,1
23.14,50.01,29,1
22.32,59.67,27,1
21.87,45.55,29,1
22.11,52.79,24,1
22.4,52.04,30,1
24.72,52.47,44,1
